,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFA,,,,per nugget,McDonalds,,,,,Wendy’s,,,,,Popeye's,,,,,Burger King,,,,,Lee's,,,,,Sonic,,,,,KFC,,,,,Arbys,,,,,Dino,,,,
Price,Cost:,$4.45,#:,8,$0.56,Cost:,$4.19,#:,10,$0.42,Cost:,$4.59,#:,10,$0.46,Cost:,$3.99,#:,8,$0.50,Cost:,$1.99,#:,8,$0.25,Cost:,$5.79,#:,6,$0.97,Cost:,$4.39,#:,10,$0.44,Cost:,$5.39,#:,12,$0.45,Cost:,$5.19,#:,9,$0.58,Cost:,$7.00,#:,40,$0.18
,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,,Aaron,Chris,Jonny,Jonathan,
Overall Taste,5,5,5,5,5,3,4,4,4,3.75,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2.5,4,4,4,3,3.75,4,3,4,4,3.75,4,4,5,4,4.25,2,2,4,3,2.75,4,4,4,3,3.75
Nugget Size,2,2,2,2,2,4,4,4,4,4,3.5,4,2,4,3.375,3.5,4,3,3,3.375,4,4,3,3,3.5,4,5,4,5,4.5,3,3,3,2,2.75,2,2,2,2,2,5,5,5,5,5,3,4,4,3,3.5
Coating,3,5,4,2,3.5,3.5,3,4,4,3.625,4,3,4,3,3.5,2,2,5,4,3.25,1,2,2,2,1.75,3,3,3,4,3.25,4,4,5,4,4.25,3,5,4,3,3.75,3,3,3,3,3,2,2,3,2,2.25
Juiciness,5,3,3,5,4,2,3,2,3,2.5,3,3,4,2,3,4,3,4,4,3.75,3,2,2,2,2.25,4,4,3,2,3.25,3,3,3,3,3,2,2,2,1,1.75,3,5,5,5,4.5,3,3,3,4,3.25
Sauce,4,5,4,4,4.25,2,3,2,1,2,3,2,3,1,2.25,3.5,4,3,3,3.375,4,3,3,3,3.25,4,2,3,4,3.25,3,1,2,1,1.75,4,3,3,4,3.5,0.5,3,1,0,1.125,4,4,4,3,3.75
Look (WOW Factor),4,4,4,4,4,4,4,3,2,3.25,3,4,3,3,3.25,5,5,3,5,4.5,2,1,2,3,2,3,1,2,3,2.25,3,3,3,3,3,3,3,3,4,3.25,4,3,2,3,3,5,5,5,3,4.5
,23,24,22,22,22.75,18.5,21,19,18,19.125,19.5,19,19,16,18.375,20,20,20,21,20.25,16,15,15,15,15.25,22,19,19,21,20.25,20,17,20,17,18.5,18,19,19,18,18.5,17.5,21,20,19,19.375,21,22,23,18,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CFA,McDonalds,Wendy’s,Popeye's,Burger King,Lee's,Sonic,KFC,Arbys,Dino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Price,-$0.56,-$0.42,-$0.46,-$0.50,-$0.25,-$0.97,-$0.44,-$0.45,-$0.58,-$0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Taste,5,3.75,3,2,2.5,3.75,3.75,4.25,2.75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nugget Size,2,4,3.375,3.375,3.5,4.5,2.75,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coating,3.5,3.625,3.5,3.25,1.75,3.25,4.25,3.75,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juiciness,4,2.5,3,3.75,2.25,3.25,3,1.75,4.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sauce,4.25,2,2.25,3.375,3.25,3.25,1.75,3.5,1.125,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Look (WOW Factor),4,3.25,3.25,4.5,2,2.25,3,3.25,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,22.19,18.71,17.92,19.75,15.00,19.29,18.06,18.05,18.80,20.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,6,9,3,10,4,7,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
